Species	Sequence	min	max
Scytalopus_magellanicus	magellanicus_KU_11691_RioNegroARG	0	3500
Scytalopus_altirostris	altirostris_LSU_43813_SanMartinPER	2900	3700
Scytalopus_affinis	affinis_ZMUC_125154	3000	4600
Scytalopus_urubambae	urubambae_ZMUC	3500	4200
Scytalopus_simonsi	simonsi_KU_21363_PunoPER	3000	4150
Scytalopus_zimmeri	zimmeri_ZMUC_126277	1700	3200
Scytalopus_superciliaris	superciliaris_santabarbarae_KU_9709_JujuyARG	1500	3350
Scytalopus_fuscus	fuscus_AMNH_RTC_392_ChacabucoCHIL	0	800
Scytalopus_canus	canus_ZMUC_134903_AntioquiaCOL	3300	3800
Scytalopus_opacus	opacus_opacus_ZMUC_125150_MoronaECU	3000	3800
Scytalopus_schulenbergi	schulenbergi_LSU_1278_LaPazBOL	2975	3400
Scytalopus_Ampay	sp_nov_LSU_58462_ApurimacPER	3450	4200
Scytalopus_Millpo	sp_nov_LSU_8381_Millpo_HuanucoPascoPER	3450	4220
Scytalopus_speluncae	speluncae_MCP1737	600	2870
Scytallopus_gonzagai	gonzagai_MCP2006_MorroIngles_BahiaBR	660	1140
Scytalopus_petrophilus	petrophilus_MCP_2215	900	2100
Scytalopus_diamantinensis	diamantinensis_s126	850	1600
Scytalopus_pachecoi	pachecoi_MCP994	10	1500
Scytalopus_iraiensis	iraiensis_MCP957	730	1850
Scytalopus_novacapitalis	novacapitalis_MZUSP78807	800	1000
Scytalopus_parvirostris	parvirostris_LSU_1292_LaPazBOL	2000	3350
Scytalopus_panamensis	panamensis_JEA1019_TakarkunaCOL	1050	1500
Scytalopus_chocoensis	chocoensis_ZMUC_126137	250	1465
Scytalopus_rodriguezi	rodriguezi_rodriguezi_ZMUC_131300_HuilaCOL	1700	2300
Scytalopus_stilesi	stilesi_AMC530_AntioquiaCOL	1420	2130
Scytalopus_robbinsi	robbinsi_ZMUC_125057_ECU	700	1250
Scytalopus_vicinior	vicinior_IAvH_BT3579_CaucaCOL	1250	2000
Scytalopus_latebricola	latebricola_CDC82_StaMartaCOL	2000	3660
Scytalopus_meridanus	meridanus_AMC1152_TachiraVEN	1600	3600
Scytalopus_argentifrons	argentifrons_72026_CR	1000	3000
Scytalopus_caracae	caracae_COP_IC1209	1200	2400
Scytalopus_spillmanni	spillmanni_ZMUC_125080	1900	3700
Scytalopus_parkeri	parkeri_LSU_390_CajamarcaPER	2250	3350
Scytalopus_griseicollis	griseicollis_IAvH_BT2583_CundCOL	2000	3900
Scytalopus_alvarezlopezi	alvarezlopezi_ICN_39110_Tatama_RisCOL	1300	1750
Scytalopus_perijanus	perijanus_JEAC693_PerijaCOL	1600	3225
Scytalopus_sanctaemartae	sanctaemartae_CDC_087_StaMartaCOL	900	1700
Scytalopus_atratus	atratus_LSU_40214_LoretoPER	850	1900
Scytalopus_bolivianus	bolivianus_KU_21456_PunoPER	1000	2300
Scytalopus_latrans	latrans_IAvH_BT5193_Frontino2AntCOL	1500	4000
Scytalopus_unicolor	unicolor_MSB_35157	2400	3400
Scytalopus_macropus	macropus_KU_14812_JuninPER	2400	3500
Scytalopus_micropterus	micropterus_IAvH_BT2306_PalestinaHuiCOL	1250	2300
Scytalopus_femoralis	femoralis_LSU_1600_PascoPER	1000	2600
Scytalopus_acutirostris	acutirostris_LSU_49668_JuninPER	2500	3700
Scytalopus_gettyae	gettyae_KU_14815_JX456471_JuninPER	2400	3200
Scytalopus_Lambayeque	sp_NK_162582_LambayequePER	3000	3400
